"filename", "language", "Dart", "JSON", "comment", "blank", "total"
"/Users/yahyajawad/Desktop/Contents/Flutter/baghdad_fair/lib/features/homeBody/fairs/presentation/views/components/sectionTitleAndFilter/fairsCompleteSectionTitle.dart", "Dart", 20, 0, 0, 3, 23
"/Users/yahyajawad/Desktop/Contents/Flutter/baghdad_fair/lib/features/homeBody/fairs/presentation/views/components/sectionTitleAndFilter/fairsSearchAndFiltering.dart", "Dart", 158, 0, 0, 3, 161
"/Users/yahyajawad/Desktop/Contents/Flutter/baghdad_fair/lib/features/homeBody/fairs/presentation/views/components/sectionTitleAndFilter/fairsSectionTitle.dart", "Dart", 14, 0, 0, 4, 18
"/Users/yahyajawad/Desktop/Contents/Flutter/baghdad_fair/lib/features/homeBody/fairs/presentation/views/fairsBody.dart", "Dart", 16, 0, 0, 2, 18
"/Users/yahyajawad/Desktop/Contents/Flutter/baghdad_fair/lib/features/homeBody/home/data/models/homeModel.dart", "Dart", 61, 0, 0, 12, 73
"/Users/yahyajawad/Desktop/Contents/Flutter/baghdad_fair/lib/features/homeBody/home/data/models/mapsModels.dart", "Dart", 27, 0, 0, 1, 28
"/Users/yahyajawad/Desktop/Contents/Flutter/baghdad_fair/lib/features/homeBody/home/data/repository/homeRepo.dart", "Dart", 7, 0, 0, 1, 8
"/Users/yahyajawad/Desktop/Contents/Flutter/baghdad_fair/lib/features/homeBody/home/data/repository/homeRepoImpl.dart", "Dart", 28, 0, 1, 4, 33
"/Users/yahyajawad/Desktop/Contents/Flutter/baghdad_fair/lib/features/homeBody/home/presentation/manager/home/homeBloc.dart", "Dart", 19, 0, 0, 1, 20
"/Users/yahyajawad/Desktop/Contents/Flutter/baghdad_fair/lib/features/homeBody/home/presentation/manager/home/homeEvents.dart", "Dart", 2, 0, 0, 1, 3
"/Users/yahyajawad/Desktop/Contents/Flutter/baghdad_fair/lib/features/homeBody/home/presentation/manager/home/homeStates.dart", "Dart", 12, 0, 0, 2, 14
"/Users/yahyajawad/Desktop/Contents/Flutter/baghdad_fair/lib/features/homeBody/home/presentation/views/components/mainContactUs.dart", "Dart", 113, 0, 1, 3, 117
"/Users/yahyajawad/Desktop/Contents/Flutter/baghdad_fair/lib/features/homeBody/home/presentation/views/components/mainContactUsItem.dart", "Dart", 38, 0, 0, 1, 39
"/Users/yahyajawad/Desktop/Contents/Flutter/baghdad_fair/lib/features/homeBody/home/presentation/views/components/mainDetails.dart", "Dart", 43, 0, 0, 2, 45
"/Users/yahyajawad/Desktop/Contents/Flutter/baghdad_fair/lib/features/homeBody/home/presentation/views/components/mainHomeInfo.dart", "Dart", 53, 0, 0, 1, 54
"/Users/yahyajawad/Desktop/Contents/Flutter/baghdad_fair/lib/features/homeBody/home/presentation/views/components/mainHomeInfoItem.dart", "Dart", 45, 0, 0, 1, 46
"/Users/yahyajawad/Desktop/Contents/Flutter/baghdad_fair/lib/features/homeBody/home/presentation/views/components/mainLinks.dart", "Dart", 97, 0, 0, 3, 100
"/Users/yahyajawad/Desktop/Contents/Flutter/baghdad_fair/lib/features/homeBody/home/presentation/views/components/mainMaps.dart", "Dart", 44, 0, 0, 2, 46
"/Users/yahyajawad/Desktop/Contents/Flutter/baghdad_fair/lib/features/homeBody/home/presentation/views/components/mainShowTimeInfo.dart", "Dart", 56, 0, 0, 2, 58
"/Users/yahyajawad/Desktop/Contents/Flutter/baghdad_fair/lib/features/homeBody/home/presentation/views/components/mapButton.dart", "Dart", 38, 0, 0, 1, 39
"/Users/yahyajawad/Desktop/Contents/Flutter/baghdad_fair/lib/features/homeBody/home/presentation/views/mainHomeBody.dart", "Dart", 74, 0, 0, 5, 79
"/Users/yahyajawad/Desktop/Contents/Flutter/baghdad_fair/lib/features/homeBody/news/data/models/newsModel.dart", "Dart", 52, 0, 0, 12, 64
